# CAMEMBERT Initial Conditions for GJ1214b
# ----------------------------------------
# Pressure (in Pa), gas temperature (in K) and associated volume mixing ratios for the primary opacity sources. The profiles were generated
# using ATMO by Duncan Christie.
#
# Date Generated: 2022-06-01
#
     Pressure_Pa    Temperature_K           VMR_CO          VMR_CO2          VMR_H2O          VMR_CH4          VMR_NH3           VMR_H2           VMR_He
  1.00000000e-01   4.07339013e+02   7.21167462e-07   2.19758044e-09   9.07714940e-04   5.29278592e-04   7.77221836e-05   8.37975703e-01   1.60482599e-01
  1.26796272e-01   4.37875149e+02   7.21161632e-07   2.19755980e-09   9.07714794e-04   5.29274854e-04   7.77250932e-05   8.37975697e-01   1.60482608e-01
  1.60772945e-01   4.52077031e+02   7.21149729e-07   2.19751839e-09   9.07714497e-04   5.29267072e-04   7.77311332e-05   8.37975684e-01   1.60482628e-01
  2.03854101e-01   4.61551266e+02   7.21131633e-07   2.19745672e-09   9.07714045e-04   5.29254955e-04   7.77404929e-05   8.37975660e-01   1.60482661e-01
  2.58479400e-01   4.69208956e+02   7.21107389e-07   2.19737576e-09   9.07713447e-04   5.29238317e-04   7.77532540e-05   8.37975622e-01   1.60482711e-01
  3.27742243e-01   4.75809826e+02   7.21077147e-07   2.19727665e-09   9.07712720e-04   5.29217058e-04   7.77694049e-05   8.37975568e-01   1.60482780e-01
  4.15564945e-01   4.81692909e+02   7.21041136e-07   2.19716059e-09   9.07711887e-04   5.29191160e-04   7.77888414e-05   8.37975493e-01   1.60482874e-01
  5.26920857e-01   4.86699124e+02   7.20999665e-07   2.19702890e-09   9.07710985e-04   5.29160696e-04   7.78113632e-05   8.37975393e-01   1.60482996e-01
  6.68116002e-01   4.91329345e+02   7.20953068e-07   2.19688283e-09   9.07710055e-04   5.29125796e-04   7.78367057e-05   8.37975262e-01   1.60483152e-01
  8.47146182e-01   4.95672039e+02   7.20901652e-07   2.19672341e-09   9.07709145e-04   5.29086606e-04   7.78645717e-05   8.37975095e-01   1.60483346e-01
  1.07414978e+00   4.99455789e+02   7.20845738e-07   2.19655164e-09   9.07708305e-04   5.29043319e-04   7.78946232e-05   8.37974887e-01   1.60483584e-01
  1.36198187e+00   5.02949769e+02   7.20785627e-07   2.19636842e-09   9.07707585e-04   5.28996135e-04   7.79265119e-05   8.37974633e-01   1.60483871e-01
  1.72694223e+00   5.06194606e+02   7.20721563e-07   2.19617443e-09   9.07707034e-04   5.28945231e-04   7.79599078e-05   8.37974329e-01   1.60484211e-01
  2.18969837e+00   5.08772404e+02   7.20653811e-07   2.19597038e-09   9.07706692e-04   5.28890816e-04   7.79944697e-05   8.37973971e-01   1.60484608e-01
  2.77645589e+00   5.11145980e+02   7.20582591e-07   2.19575685e-09   9.07706593e-04   5.28833076e-04   7.80298861e-05   8.37973556e-01   1.60485063e-01
  3.52044256e+00   5.13178027e+02   7.20508064e-07   2.19553425e-09   9.07706762e-04   5.28772154e-04   7.80658883e-05   8.37973084e-01   1.60485578e-01
  4.46378992e+00   5.14847240e+02   7.20430380e-07   2.19530295e-09   9.07707213e-04   5.28708194e-04   7.81022270e-05   8.37972555e-01   1.60486152e-01
  5.65991920e+00   5.16345486e+02   7.20349644e-07   2.19506318e-09   9.07707950e-04   5.28641304e-04   7.81386946e-05   8.37971972e-01   1.60486784e-01
  7.17656653e+00   5.17700092e+02   7.20265909e-07   2.19481504e-09   9.07708970e-04   5.28571552e-04   7.81751248e-05   8.37971335e-01   1.60487471e-01
  9.09961881e+00   5.18974122e+02   7.20179197e-07   2.19455854e-09   9.07710264e-04   5.28498981e-04   7.82113829e-05   8.37970649e-01   1.60488210e-01
  1.15379774e+01   5.20112476e+02   7.20089519e-07   2.19429366e-09   9.07711820e-04   5.28423625e-04   7.82473557e-05   8.37969916e-01   1.60488998e-01
  1.46297252e+01   5.21227239e+02   7.19996863e-07   2.19402033e-09   9.07713623e-04   5.28345502e-04   7.82829546e-05   8.37969141e-01   1.60489832e-01
  1.85499461e+01   5.22320556e+02   7.19901196e-07   2.19373840e-09   9.07715659e-04   5.28264608e-04   7.83181138e-05   8.37968325e-01   1.60490709e-01
  2.35206401e+01   5.22992391e+02   7.19802565e-07   2.19344799e-09   9.07717911e-04   5.28181010e-04   7.83527519e-05   8.37967473e-01   1.60491625e-01
  2.98232947e+01   5.23554311e+02   7.19701022e-07   2.19314921e-09   9.07720363e-04   5.28094777e-04   7.83868000e-05   8.37966588e-01   1.60492576e-01
  3.78148259e+01   5.23909175e+02   7.19596597e-07   2.19284213e-09   9.07723003e-04   5.28005961e-04   7.84202107e-05   8.37965673e-01   1.60493560e-01
  4.79477894e+01   5.24117654e+02   7.19489330e-07   2.19252685e-09   9.07725815e-04   5.27914623e-04   7.84529444e-05   8.37964731e-01   1.60494573e-01
  6.07960094e+01   5.24252143e+02   7.19379244e-07   2.19220340e-09   9.07728791e-04   5.27820808e-04   7.84849779e-05   8.37963765e-01   1.60495614e-01
  7.70870733e+01   5.24639816e+02   7.19266277e-07   2.19187159e-09   9.07731920e-04   5.27724489e-04   7.85163190e-05   8.37962775e-01   1.60496681e-01
  9.77435350e+01   5.25091533e+02   7.19150350e-07   2.19153117e-09   9.07735199e-04   5.27625626e-04   7.85469837e-05   8.37961762e-01   1.60497774e-01
  1.23935158e+02   5.25682005e+02   7.19031404e-07   2.19118194e-09   9.07738622e-04   5.27524194e-04   7.85769853e-05   8.37960728e-01   1.60498891e-01
  1.57145160e+02   5.26282403e+02   7.18909399e-07   2.19082377e-09   9.07742184e-04   5.27420182e-04   7.86063344e-05   8.37959672e-01   1.60500031e-01
  1.99254204e+02   5.26888854e+02   7.18784326e-07   2.19045662e-09   9.07745882e-04   5.27313607e-04   7.86350366e-05   8.37958597e-01   1.60501194e-01
